model_name,repeat,fold,n_features,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,ordinal_mae,severe_error_rate,within_1_accuracy,error
gradient_boosting,2,4,41,0.853125,0.8343541666666667,0.853125,0.842550954913416,0.5507369945294024,0.146875,0.0,1.0,
svm,2,4,41,0.721875,0.8506074228471878,0.721875,0.7578693675889328,0.5706561264822135,0.28125,0.003125,0.996875,
knn,2,4,41,0.84375,0.810461956521739,0.84375,0.8267361111111111,0.4962675854148723,0.15625,0.0,1.0,
naive_bayes,2,4,41,0.684375,0.8263737502576788,0.684375,0.7221804783813532,0.5209114009525696,0.315625,0.0,1.0,
decision_tree,2,4,41,0.821875,0.8124173003802282,0.821875,0.8166824794433902,0.4979970482816783,0.178125,0.0,1.0,
ada_boost,2,4,41,0.8,0.7908163265306122,0.8,0.7951086956521739,0.4668423364075538,0.2,0.0,1.0,
ridge,2,4,41,0.85,0.8030968468468469,0.85,0.8184648187633263,0.4639658848614072,0.15,0.0,1.0,
logistic_regression,2,5,41,0.6018808777429467,0.8166429182103163,0.6018808777429467,0.6608211318169424,0.46675598544757424,0.41379310344827586,0.01567398119122257,0.9843260188087775,
random_forest,2,5,41,0.8557993730407524,0.8263420737183856,0.8557993730407524,0.8237104457341258,0.4673401446447021,0.14420062695924765,0.0,1.0,
gradient_boosting,2,5,41,0.8526645768025078,0.8314623475648579,0.8526645768025078,0.8220563422481181,0.50117420705656,0.14733542319749215,0.0,1.0,
svm,2,5,41,0.6363636363636364,0.8013392308339176,0.6363636363636364,0.6882339040270075,0.47112820512820514,0.3761755485893417,0.012539184952978056,0.987460815047022,
knn,2,5,41,0.8025078369905956,0.7618461918030883,0.8025078369905956,0.7767342123733303,0.43199411228411,0.20376175548589343,0.006269592476489028,0.9937304075235109,
naive_bayes,2,5,41,0.64576802507837,0.7825756393707711,0.64576802507837,0.6902009406618406,0.4600672354952029,0.36363636363636365,0.009404388714733543,0.9905956112852664,
decision_tree,2,5,41,0.8150470219435737,0.8068623632944794,0.8150470219435737,0.8100924001737639,0.4928214731585518,0.19435736677115986,0.009404388714733543,0.9905956112852664,
ada_boost,2,5,41,0.7648902821316614,0.7584010525624151,0.7648902821316614,0.7592369734989117,0.4406378469110514,0.23510971786833856,0.0,1.0,
ridge,2,5,41,0.8307210031347962,0.806589792344456,0.8307210031347962,0.7857355807625483,0.43479658879955396,0.16927899686520376,0.0,1.0,
